region,year,total_economically_active,total_in_employment,unemployed,employment_rate,total_economically_active_16_64,total_in_employment_16_64,unemployed_16_64,economically_inactive_16_64,economic_activity_rate_16_64,employment_rate_16_64,unemployment_rate_16_64,treated,RegionID
NorthEast,2006,1227055.6468333334,1147453.646,79602.00087583333,56.01676663916667,1211198.74725,1132052.80475,79145.94259333333,427987.1692833333,73.89010675916667,69.06185834416667,6.535265724916666,0.0,4
NorthEast,2007,1236353.2624166666,1159821.3143333334,76531.94808083333,56.2781179275,1222178.8101666665,1146440.7805,75738.02984583333,427640.3562916666,74.07975171583332,69.48873474333334,6.197115699,0.0,4
NorthEast,2008,1246618.2976666668,1155727.8041666667,90890.49373,55.78636180749999,1225562.4700833333,1135435.7934166666,90126.67660333333,431717.696775,73.94994597083333,68.51235363666667,7.349488266583333,0.0,4
NorthEast,2009,1242408.473,1128801.5479166666,113606.92507499999,54.23542171416667,1220388.6145,1107218.5779166666,113170.03661166667,441229.7189,73.44576558,66.63528650333333,9.274902924000001,0.0,4
NorthEast,2010,1261188.5578333333,1141691.82925,119496.72870833334,54.54923314249999,1235879.9645833333,1117171.2094166668,118708.75522499999,430388.5353333333,74.17054244916666,67.0463276925,9.606644286666667,0.0,4
NorthEast,2011,1253968.3008333333,1120764.9841666666,133203.3166,53.31130671,1225599.9931666667,1092803.5095,132796.48364999998,441823.75686666666,73.50285850666667,65.53833567083333,10.832388314833333,0.0,4
NorthEast,2012,1269583.426,1139882.4209166665,129701.00495833333,54.06466926833334,1241771.59975,1112827.1613333332,128944.43870833334,417688.3167,74.82997080166666,67.06024247083333,10.383350775083333,0.0,4
NorthEast,2013,1263520.4285000002,1136900.78575,126619.64265833334,53.73789951333333,1233540.8691666666,1107675.5148333332,125865.35423333333,421250.1308,74.54392736416666,66.93772343083333,10.202945099166667,0.0,4
NorthEast,2014,1289519.4274166666,1169708.8897499999,119810.53779166668,55.11476626,1261487.4598333333,1142135.3396666667,119352.11984916666,389389.95689166663,76.41313863833334,69.18371345083334,9.458915124666666,0.0,4
NorthEast,2015,1276158.6745833333,1172605.67175,103553.00270666667,55.11378225666667,1238089.486,1135993.0091666665,102096.47689583333,410043.4306166666,75.12067894416667,68.92592287166667,8.247887586666666,0.0,4
NorthEast,2016,1293708.7750833333,1200571.2581666666,93137.5170625,56.22362567833333,1256921.761,1164648.3062500001,92273.45456333335,391187.405825,76.26440466166666,70.66570318833334,7.338922034583334,0.0,4
NorthEast,2017,1294906.7699166667,1219615.98025,75290.789615,56.98635109,1259695.0670833334,1184441.9070833332,75253.15989666666,386102.6830083334,76.54017785583333,71.9678951225,5.974050571916667,0.0,4
NorthEast,2018,1274393.3698333334,1211991.6374166666,62401.73260416667,56.56203509333333,1242410.4154166665,1180591.5943333332,61818.821132499994,398981.084575,75.692236085,71.9258808825,4.974882509333333,0.0,4
NorthEast,2019,1277351.8201666668,1205230.3046666665,72121.5156225,56.166093177499995,1235791.916,1164754.3608333333,71037.55526666666,401177.58389999997,75.49274013333333,71.15300291083334,5.74805636275,0.0,4
NorthEast,2020,1292322.5740833334,1215910.3706666667,76412.20337416667,56.64731643666667,1253896.1909166665,1179413.60075,74482.59012749999,376950.5592,76.88603877,72.31877700916667,5.9426406845,0.0,4
NorthEast,2021,1270252.1369166665,1198523.83725,71728.2995525,55.83945214333334,1228731.7015833333,1158184.1033333333,70547.59824666666,395435.4650833334,75.65320903166666,71.30958003333333,5.738997605083333,0.0,4
NorthWest,1993,3237294.2355833333,2892967.7010833337,344326.5344333333,54.58111943583333,3199351.964333333,2856071.9403333333,343280.0239833333,1079716.369,74.76748615416666,66.74530672,10.729488398333332,0.0,5
NorthWest,1994,3217752.7118333336,2889356.4973333334,328396.214525,54.639569573333326,3178276.4565,2851367.8618333335,326908.594525,1088965.1268333334,74.48067646916667,66.82000524916667,10.2840451275,0.0,5
NorthWest,1995,3154570.1316666664,2869986.840166667,284583.2915666667,54.34713978083334,3110868.183,2828313.89125,282554.29170833336,1148069.6503333333,73.04316786833333,66.4088439025,9.08234249975,0.0,5
NorthWest,1996,3163422.129666667,2906170.3249999997,257251.80475,55.10335916666667,3127576.1700833333,2871846.2035000003,255729.96659166669,1124488.41325,73.55438344583332,67.54022784166666,8.177036436749999,0.0,5
